Year,Month,Day,Category,Material Type,Weight (lbs),Vendor,Date Updated,Cost,Notes
2022,jul,4,landfill,l-landfill,4560.0,mission trail,9/22/2022,1292.89,500 el camino real
2022,jul,7,landfill,l-landfill,3120.0,mission trail,9/22/2022,1251.15,500 el camino real
2022,jul,11,landfill,l-landfill,3400.0,mission trail,9/22/2022,1259.27,500 el camino real
2022,jul,14,landfill,l-landfill,7000.0,mission trail,9/22/2022,1363.63,500 el camino real
2022,jul,18,landfill,l-landfill,5800.0,mission trail,9/22/2022,1328.84,500 el camino real
2022,jul,25,landfill,l-landfill,10600.0,mission trail,9/22/2022,1467.99,500 el camino real
2022,aug,3,compost,c-yardwaste,8260.0,mission trail,9/22/2022,986.85,500 el camino real
2022,aug,10,compost,c-yardwaste,8800.0,mission trail,9/22/2022,1000.19,500 el camino real
2022,aug,18,compost,c-yardwaste,9840.0,mission trail,9/22/2022,1025.9,500 el camino real
2022,aug,24,compost,c-yardwaste,7820.0,mission trail,9/22/2022,975.97,500 el camino real
2022,aug,31,compost,c-yardwaste,8660.0,mission trail,9/22/2022,996.73,500 el camino real
2022,aug,1,recycle,r-mixed recycling,7260.0,mission trail,9/22/2022,1591.16,500 el camino real
2022,aug,4,recycle,r-mixed recycling,3960.0,mission trail,9/22/2022,1571.36,500 el camino real
2022,aug,15,recycle,r-mixed recycling,10280.0,mission trail,9/22/2022,1609.28,500 el camino real
2022,aug,22,recycle,r-mixed recycling,8660.0,mission trail,9/22/2022,1599.56,500 el camino real
2022,aug,25,recycle,r-mixed recycling,2900.0,mission trail,9/22/2022,1565.0,500 el camino real
2022,aug,29,recycle,r-mixed recycling,2540.0,mission trail,9/22/2022,1562.84,500 el camino real
2022,aug,1,landfill,l-landfill,13520.0,mission trail,9/22/2022,1552.64,500 el camino real
2022,aug,4,landfill,l-landfill,4700.0,mission trail,9/22/2022,1296.95,500 el camino real
2022,aug,15,landfill,l-landfill,14880.0,mission trail,9/22/2022,1592.07,500 el camino real
2022,aug,22,landfill,l-landfill,13200.0,mission trail,9/22/2022,1543.37,500 el camino real
